Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Body
,Roots,Vegetables,Root Roast Mix (2 lb),Default Title,4.50,Yes,https://shop.solidground.farm/products/root-roast-mix-2-lb,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/PXL_20210117_144144549.jpg?v=1610895310,"A little bit of everything - beets, carrots, purple-top white globe turnips, and winter radishes.  Makes a perfect root bake - scrub, cube, oil and salt, and bake on a cookie sheet.  Or use in soups, mashes, more!  Comes in a two-pound mix bag."
,Roots,Vegetables,Roots: Beets - per lb.,Default Title,2.50,Yes,https://shop.solidground.farm/products/beets,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/Redbeets.jpg?v=1605063811,"<p>Red beets by the lb -- deep, vibrant red, beets are great roasted, boiled and sliced in a salad, or even fermented!</p>"
,Roots,Vegetables,Roots: Purple Top Turnip - per lb.,Default Title,2.50,Yes,https://shop.solidground.farm/products/purple-top-turnip,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/purpletopturnips.jpg?v=1605065914,"<p>Purple top turnips by the lb -- great for roasting, mashing, and soups, turnips are less starchy than rutabagas and have a slightly aromatic flavor.</p>"
,Roots,Vegetables,Roots: Daikon Radish,Default Title,2.50,Yes,https://shop.solidground.farm/products/daikon-radish,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/daikonradish.jpg?v=1605065569,"<p>Daikon radish  -- white, spicy, super crisp, great for fresh eating, pickling, kimchi, and roasting.  <br></p>"
,Roots,Vegetables,Roots: Green Luobo Radish - per lb.,Default Title,2.50,Yes,https://shop.solidground.farm/products/green-luobo-radish,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/greenluoboradishes.jpg?v=1605065748,"<p>Green luobo radish by the lb -- green and white, strong and spicy with an underlying sweetness, great for fresh eating, pickling, kimchi, and roasting.</p>"
,Roots,Vegetables,Roots: Black Spanish Radish - per lb.,Default Title,2.50,Yes,https://shop.solidground.farm/products/black-spanish-radish,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/blackspanishradish.jpg?v=1605065054,"<p>Black spanish radish by the lb - black skin and white on the inside, meaty, best sliced and sauteed with butter, roasted, or cooked as chips.</p>"
,Roots,Vegetables,Roots: Rutabaga,Default Title,2.50,Yes,https://shop.solidground.farm/products/rutabaga,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/rutabaga.png?v=1605066022,"<p>Rutabaga by the lb - a hearty winter vegetable, roast or mash these bad boys for a nice (and lower carb) alternative to potatoes!</p>"
,Roots,Vegetables,Roots: Carrots - per lb.,Default Title,2.50,Yes,https://shop.solidground.farm/products/carrots,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/wintercarrots.jpg?v=1605064791,"<p>Sweet, orange carrots by the lb.</p>"
,Roots,Vegetables,Salad Radish,Default Title,3.50,No,https://shop.solidground.farm/products/salad-radish,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/Saladradish.jpg?v=1636988348,"Fresh-harvested salad radishes, a bunch containing 8-10 pieces."
,Roots,Vegetables,Hakurei Turnips,Default Title,3.50,No,https://shop.solidground.farm/products/hakurei-turnips,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/hakureiturnip.jpg?v=1636988738,"Sweet hakurei turnips, or salad turnips, in a fresh-picked bunch.  Great when sliced raw on a salad, or can be stir-fried for a sweet addition to any dish."
,Roots,Vegetables,Purple Daikon Radishes - per lb.,Default Title,2.50,Yes,https://shop.solidground.farm/products/purple-daikon-radishes-per-lb,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/purpledaikon.jpg?v=1636989295,"Purple Daikon radishes have a mild, sweet, and peppery flavor well suited for raw, cooked, and pickled preparations. The radishes can be eaten with or without the skin, and when raw, the flesh can be thinly sliced and incorporated into salads, used as a raw vessel for dips, or chopped and mixed into slaws. The brilliant, bi-colored flesh adds visual appeal to sandwiches, appetizer plates, sashimi, and pickled preparations, or it can be coarsely grated using a special Japanese grater as a condiment."
,Roots,Vegetables,Roots: Pink Daikon Radish,Default Title,2.50,Yes,https://shop.solidground.farm/products/roots-pink-daikon-radish,https://cdn.shopify.com/s/files/1/0507/3213/8680/files/redkingdaikonradishpic.jpg?v=1702872342,"<p>Beautiful red/pink Daikon radish - <span data-mce-fragment=""1"">Mild, crisp, and juicy</span>.   Great for fresh eating, pickling, kimchi, and roasting.  Price is per pound<br></p>"
,Shoots and Microgreens,Vegetables,Microgreens: Sunflower Shoots,Default Title,4.50,Yes,https://shop.solidground.farm/products/sunflower-shoots,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/Sunflowershoots.jpg?v=1605129450,"<p>Fresh sunflower shoots, cur straight from the greenhouse. Nutty, crisp, and sweet. In 3.5 ounce clamshell.</p>"
,Shoots and Microgreens,Vegetables,Microgreens: Spicy Microgreens,Default Title,4.50,Yes,https://shop.solidground.farm/products/spicy-microgreens,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/spicymicrogreensmix.jpg?v=1605129270,<p>A medley of three types of spicy radish microgreens. Add a zing to your salad or meal! In a 2 ounce clamshell</p>
,Shoots and Microgreens,Vegetables,Microgreens: Sweet Pea Shoots,Default Title,4.50,Yes,https://shop.solidground.farm/products/sweet-pea-shoots,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/peashoots.jpg?v=1605129372,"<p>Perfect addition to salads, sandwiches, soups, and more. Tasty as a just-off-the-vine snap pea. In a 3 ounce clamshell</p>"
